ID,Title,Location,Salary,Summary
job_e84b86f48dc2081d,Consultant PSG,서울,"Learning & Predictive modelling (in R, Spark MLLib, Python) Knowledge... following TIBCO technologies... huge..."
job_4240704581f26166,여행사업본부 1월 정기 수시채용,서울 을지로2가,"ERP 시스템 운영 및 고도화 작업 •홈페이지 리뉴얼 개발 지원 [필요역량] •개발언어: java (필수), python (우대) •개발프레임워크: Spring Framework (필수), Django (우대) •DBMS..."
job_22ffe020e40de675,[포티투마루] 인공지능(AI) 개발자 전 부문,서울 서초구,인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임...
job_9d65190a07b1dcd7,Data Science Executive,서울,using tools... python/r. Understand... You’ve dabbled in data. You’ve perused Python. And you have the communication chops...
job_a5e926e1d22cdc11,각 분야별 인재 Pool 등록,서울,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
job_87309d3ff40ead61,딥러닝 AI 개발 연구원,성남 수정구,시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
job_132bd08baefca568,"Sr.Software Engineer, Multimedia Indexer Team",서울,"following programming languages: C/C++, Python Knowledge in network and multithread... 경험이 있는 분(C/C++, Python) 네트웍과멀티스레딩 프로그래밍에..."
job_1b3ad64e7a39c01a,IoT 기기 및 네트워크 취약점 점검 개발자,서울 성동구,"우대사항 ㆍ제로데이 및 CVE등 취약점 분석 경험자 우대 ㆍ언어(C, Python등)에 대한 이해 및 활용 능력 ㆍ리버스엔지니어링(arm/mips... 분석 경험자 우대 ㆍ언어(C, Python등)에 대한 이해 및 활용 능력..."
job_21ba056946e5abdf,"Solutions Architect - AMAZON Web Services, Korea",서울,"languages... Ruby, Python and Node... 현대 개발 언어에 대한 실무적 지식: 루비 (Ruby), 파이썬 ( Python), Node.js 등 · 개발자 및 IT 운영자 대상의 신기술 전파에..."
job_b79263ae7f3495a9,Software Engineer (Data) - Korea,서울 강남구,"least one programming language (preferably Java, Go, or Python). Outstanding problem-solving skills. Fluent in English (both..."
job_86e7b207ac22a5d5,Solutions Architect for AI and Deep learning in Korea,서울,"Computer Engineering. Good Programming Capability with Python, C/C++. Technical understanding and knowledge in NVIDIA GPU..."
job_764e1009190a3e15,[엔픽셀] 블록체인 웹 프로그래머,서울 강남구,"Javascript 등)가 있으신 분 ∙ 한 종류 이상의 능숙한 웹 스크립팅 언어 (java, node, python 등) 사용 가능하신 분 ∙ 개발 업무에 필요한 수준의 영어 독해 능력이 있으신 분 *[우대사항..."
job_d1d26bc871719fe2,대학생인턴십 2기 모집,서울 영등포구,"러시아어 회화 가능자 - 통계 프로그래밍(Minitab, SPSS, SAS 등), 프로그래밍언어(R, Python 등) 활용 경험 보유자 - 빅데이터/IT/품질/환경안전 관련 자격증 보유자 - PLC,N/W, 비전, 센터..."
job_116009dbf59211ed,퍼즐데이터 역량있는 데이터 분석가,서울 역삼동,"데이터 마이닝 및 통계분석에 대한 전반적인 이해 3. 관련분야(산업공학, 통계 등) 전공 4. R or Python 사용 능력 * 이런 분은 더욱 좋아요. 1. 프로세스 마이닝 지식 보유자 2. 관련분야 대학원 전공 3..."
job_557fe7d3af887a99,Cymer Software Engineer,대한민국,"experience in C/C++/MFC, and C#/Java/Scripts(VB, Python, Java) programming in extra More than 1~2 years of development..."
job_78d7329422e955ea,Applications Engineer (Monitoring Applications),서울,"system, FPGA experience is a plus Text-Based Programming, C#, Python, etc.; Experiences... infrastructure, open source OS..."
job_45ca852d3c46816a,Staff Back-end Engineer (Eats),서울,"요건 : 학사 이상 학위 소지자 엔터프라이즈 시스템 구축 7년 이상 객체 지향 프로그래밍 경험 및 Java, Python 등 그 외 언어에 대한 전문적 지식 보유 대규모 서비스 설계, 구축, 운영 경험 적극적으로 문제/장애..."
job_e3f3b7e2103d9bc7,"웹개발, 백엔드 외 신입/경력 정규직",서울 강남구,로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP
job_649ccf047c868778,"금융 데이터 분석 엔진, 로보어드바이저 개발자",서울 영등포구,"시스템, 머신러닝, 자연어처리. 패턴분석 - 다음 언어에서 최소 한 가지 이상 능숙자: Java, C++, Python, JavaScript 우대사항 - 석사이상 컴퓨터공학 (Computer Science) 분야 또는..."
job_e18e709e63c081ed,"전액 국비지원 IT취업연계 교육 JAVA웹&앱, 빅데이터, 인공지능",서울 마포구,중앙정보처리학원 인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터...
job_424c40da403d9398,금융공학연구 신입/경력/병역특례 채용,서울 여의도,"Data Science 프로젝트 경험 Big Data에 대한 분석능력( Python, R, Excel, Tableau 등) DevOps (신입/경력... AICPA/FRM 자격증 우대 Python/R/VBA/SQL 등 코딩 개발..."
job_21d2c5a3f43370e1,[ HDC 랩스 ] 2022년 상반기 경력,성남 분당구,인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>네트워크...
